tunti,kwh,spot_snt_kwh,kokonaishinta_snt_kwh,kustannus_eur
2026-08-28T23:00:00+03:00,1.4913,0.2930,0.8571,0.0128
2026-08-29T00:00:00+03:00,6.9250,0.2020,0.7430,0.0515
2026-08-29T01:00:00+03:00,8.3004,0.1957,0.7351,0.0610
2026-08-29T02:00:00+03:00,8.3106,0.1950,0.7342,0.0610
2026-08-29T03:00:00+03:00,8.2221,0.1993,0.7395,0.0608
2026-08-29T04:00:00+03:00,8.1909,0.1960,0.7354,0.0602
2026-08-29T05:00:00+03:00,4.6767,0.1974,0.7372,0.0345
2026-09-03T00:00:00+03:00,0.0378,2.6080,3.7625,0.0014
2026-09-03T01:00:00+03:00,8.1650,2.3410,3.4274,0.2798
2026-09-03T02:00:00+03:00,8.2876,2.3282,3.4113,0.2827
2026-09-03T03:00:00+03:00,8.2697,2.3235,3.4054,0.2816
2026-09-03T04:00:00+03:00,8.2802,2.3235,3.4054,0.2820
2026-09-03T05:00:00+03:00,8.1111,2.3323,3.4165,0.2771
2026-09-03T06:00:00+03:00,0.1057,1.6005,2.4981,0.0026
2026-09-05T12:00:00+03:00,0.0491,0.7000,1.3679,0.0007
2026-09-05T13:00:00+03:00,8.0738,0.5967,1.2383,0.1000
2026-09-05T14:00:00+03:00,5.6641,0.4448,1.0477,0.0593
2026-09-06T02:00:00+03:00,0.0410,0.2000,0.7405,0.0003
2026-09-06T03:00:00+03:00,6.1770,0.1997,0.7400,0.0457
