tunti,kwh
2026-08-28T23:00:00+03:00,1.4913
2026-08-29T00:00:00+03:00,6.9250
2026-08-29T01:00:00+03:00,8.3004
2026-08-29T02:00:00+03:00,8.3106
2026-08-29T03:00:00+03:00,8.2221
2026-08-29T04:00:00+03:00,8.1909
2026-08-29T05:00:00+03:00,4.6767
2026-09-03T00:00:00+03:00,0.0378
2026-09-03T01:00:00+03:00,8.1650
2026-09-03T02:00:00+03:00,8.2876
2026-09-03T03:00:00+03:00,8.2697
2026-09-03T04:00:00+03:00,8.2802
2026-09-03T05:00:00+03:00,8.1111
2026-09-03T06:00:00+03:00,0.1057
2026-09-05T12:00:00+03:00,0.0491
2026-09-05T13:00:00+03:00,8.0738
2026-09-05T14:00:00+03:00,5.6641
2026-09-06T02:00:00+03:00,0.0410
2026-09-06T03:00:00+03:00,8.1705
2026-09-06T04:00:00+03:00,2.1585
